Est Dia in KM(min),Est Dia in KM(max),Relative Velocity km per sec,Minimum Orbit Intersection,Eccentricity,Semi Major Axis,Inclination,Asc Node Longitude,Perihelion Arg,Mean Anomaly,Hazardous
0.1272198785,0.2844722965,6.1158343887,0.0252819,0.4255490832802690,1.407011302712980,6.025981287138330,314.3739134134080,57.25746987539550,264.8375332988030,TRUE
0.1460679643,0.3266178974,18.1139850263,0.186935,0.3516743045868620,1.10777595443772,28.41299637199040,136.7172416568080,313.0919748302690,173.7411119891740,FALSE
0.2315021222,0.5176544822,7.5907111617,0.0430579,0.3482482617619960,1.458823814474810,4.237961002947920,259.4759789450260,248.4150381128610,292.8936537794410,TRUE
0.0088014652,0.0196806745,11.1738744976,0.0055118,0.2165783078378780,1.255902889613580,7.905894348125120,57.17326613388250,18.70770087172090,68.74100661777580,FALSE
0.1272198785,0.2844722965,9.8408310539,0.034798,0.2104479432284870,1.225614736618330,16.79338165999120,84.62930679460830,158.2635960713290,135.1421326756290,TRUE
0.3195618867,0.7145621017,10.8088439585,0.272213,0.5634410734978920,1.323532179970780,17.92775064011700,178.9719507770030,198.1459691510270,354.2373683433310,FALSE
0.3195618867,0.7145621017,10.8088415879,0.272213,0.5634411100746360,1.323532161963900,17.92774837902650,178.9719525667910,198.1459598526760,354.237396160877,FALSE
0.3841978911,0.8590926012,24.4218839949,0.0987582,0.4497627959965090,1.237474536298780,34.69512745281480,112.5629844130880,288.3746511156050,186.7769322777000,FALSE
0.7320739893,1.6369672047,17.373783837,0.109354,0.2381790104348690,1.145550849266030,22.21521029077530,80.21113209162260,353.4223941040980,182.2364315309590,FALSE
0.1332155667,0.2978790628,12.8996097219,0.0169065,0.551388806833007,0.8761253667964830,2.059576978010800,2.613682368506760,253.7659371965320,119.8613823033980,TRUE
0.0880146521,0.1968067451,22.4213663146,0.000317965,0.4758194774081160,0.8138767249034950,23.18568668072360,117.1112240445540,220.9403707579690,5.556806412851550,FALSE
0.0183888672,0.0411187571,17.2746114639,0.00186378,0.2048406780030450,1.240789317594740,13.7442332087249,161.933518574421,13.92021256207250,46.68495944704710,FALSE
0.02658,0.0594346868,12.1185099534,0.0187898,0.326860711970322,0.9302337444493960,8.333753551706270,20.49127086505550,128.46312989278,66.77697673554130,FALSE
0.4023045798,0.8995803882,10.8299262895,0.214004,0.1493579627014400,1.32292378805863,21.26523155355710,122.4368331936930,297.7298536948960,15.23187454710150,FALSE
0.4619074603,1.0328564805,39.6053279147,0.102643,0.8610933305709990,1.982738584288130,10.02263604097740,163.2099234123560,199.3714586963140,37.51725738061910,FALSE
0.0242412481,0.0542050786,25.2112885836,0.0119773,0.4416943551013880,0.8375570081279070,19.76759210755230,243.614950945384,41.6483224835708,96.60735473164920,FALSE
0.2658,0.5943468684,3.0890039286,0.240288,0.3775493600967310,1.958154259500410,5.660561156228660,112.1644170272150,34.30691815167330,82.35082442826080,FALSE
0.1677084622,0.3750075218,20.0192419349,0.0984179,0.4527922930841960,0.907864592986423,8.278695740027690,114.3798292883880,7.392326563703370,36.16756328615700,FALSE
0.0921626549,0.2060819612,8.5263208443,0.0259126,0.2597323195329090,1.16651991571092,5.035044225594920,28.8520216092119,271.6146744029960,179.6031185576670,FALSE
0.0766575574,0.1714115092,7.9195240447,0.0525422,0.1514158524079460,0.9137303163513600,5.860414922890070,177.8573023304910,90.64125634459160,203.9869515937410,FALSE
0.0160160338,0.0358129403,4.6554785934,0.018587,0.1714328826365060,0.9391389588534730,11.94779476707690,229.0663217594460,227.5499749797060,314.5094251287650,FALSE
0.2016299194,0.4508582062,2.1643728488,0.183818,0.4074703521368720,1.978471308901620,4.06169556322702,142.2597510835390,38.66044217724880,15.11056876015710,FALSE
0.1214940408,0.2716689341,28.4189542612,0.0128745,0.8684189074961080,0.9067337425159880,4.035074270183860,342.7842082321540,322.3904957839120,303.9792986106830,TRUE
0.04411182,0.0986370281,10.551519772,0.0109543,0.3988200079942560,1.35791927755497,3.854342068985660,341.218636234598,237.1733163416560,54.31490079465930,FALSE
0.04411182,0.0986370281,17.5649076525,0.0453154,0.3973810059712000,0.9403258403908950,11.6076647207195,195.3700872141470,315.2418743196190,255.1877435084700,FALSE
0.1460679643,0.3266178974,19.223165458,0.0140066,0.2494248827236090,1.183993437388870,35.2402424959676,149.1565598893370,55.21650962102310,141.0296511750650,TRUE
0.0106354281,0.0237815402,7.1641480595,0.0071428,0.3179061258474020,1.03436766129103,4.008314775490600,322.7144944711470,249.0178764867160,92.63701924370050,FALSE
0.3669061375,0.8204270649,13.5763026447,0.00132059,0.1902842554038820,1.189560559495510,5.883903317829790,251.5911063365940,211.4467739786350,154.0217068187270,TRUE
0.0802703167,0.1794898848,11.4702980441,0.0341962,0.4282526106821030,1.234937694057480,5.850410278034520,151.2892418885370,292.6184516502230,178.6926558391440,FALSE
0.046190746,0.1032856481,11.9306425303,0.052677,0.3864587856542610,0.7629744336180590,20.83376792025670,352.9223651783220,351.1788107856060,203.652258647551,FALSE
0.0050647146,0.0113250461,9.8741431619,0.00220111,0.2299595839786060,1.176188921427010,1.990548431564580,336.8735046974830,120.0623447551710,157.6102089911100,FALSE
0.1529519353,0.3420109247,15.938707162,0.0667857,0.4373989530511650,1.442414905197320,24.56842188077440,151.7319137192870,97.07781956847640,317.5623087461240,FALSE
0.0732073989,0.1636967205,11.7404134833,0.0452308,0.513906570440738,0.8653553647152510,6.812692898480360,64.12627502627190,292.8831880645740,140.1980046848550,FALSE
0.046190746,0.1032856481,11.9306119236,0.0515902,0.3864450668773290,0.7629535011587540,20.83340836762830,352.9209234711130,351.1779799498100,203.0327732060240,FALSE
0.0506471459,0.1132504611,3.8380167643,0.0231683,0.1755281002971450,1.085053919527080,1.499707987243190,143.9720934468940,2.124647144481260,343.2780837648180,FALSE
0.2914439045,0.6516883822,14.6506071817,0.00864628,0.6596701710312650,1.039069958449250,1.660280612530240,211.1661458545500,111.2704877710450,339.0708464948790,TRUE
0.1214940408,0.2716689341,7.5148753568,0.072723,0.1806949354384840,1.298712853884240,2.883848267500710,42.7745945849694,283.6789058830170,282.4479213473540,FALSE
0.2538370294,0.5675968529,14.3828211868,0.286119,0.6085291129034920,1.067729565398200,19.76609421451880,228.3483095782690,179.9055930928360,203.2544790124770,FALSE
0.2783267681,0.6223575734,16.5382492667,0.00632801,0.2001586683140730,1.225054256082760,23.76674096359200,157.1413506175400,9.6180260171084,196.5243824380090,TRUE
0.0088014652,0.0196806745,7.3391408326,0.00184403,0.2216354711934580,1.149622484484150,7.430785914533310,330.7831998198390,290.4836428426270,144.1965902347320,FALSE
0.04411182,0.0986370281,10.5995937061,0.110326,0.2254849824771860,1.408325755715620,8.113962312011780,158.2260557876110,28.41222819732560,164.561870327472,FALSE
0.0110803882,0.0247765013,22.8246286413,0.00602602,0.2997332703803510,0.8416315805242640,10.27694002800110,171.1772580572290,218.2204921071240,87.3399513801906,FALSE
0.1379605689,0.3084892103,20.3742223265,0.0890355,0.1478846210086850,1.235912132943170,39.40701510140630,356.5439054824790,218.6018120381650,90.33855226043310,FALSE
0.9216265485,2.0608196123,22.9603499373,0.0591071,0.7766438887734540,2.26319603381811,9.064507173740580,352.6914107643230,299.7393341963950,191.4543290913350,FALSE
0.0133215567,0.0297879063,7.5164621883,0.00576149,0.01394849751423770,0.988667858326567,4.320908199813250,264.4056022167970,87.81644303895900,58.24402434197090,FALSE
0.4619074603,1.0328564805,21.5347344882,0.264451,0.4445997797497420,2.250574629195570,40.07490632410600,190.8023227140370,16.17455002900160,217.6120228280010,FALSE
0.0062309602,0.0139328506,13.5922329378,4.42295E-05,0.1458940283310570,1.033210407631440,3.174319580769290,10.44411032877470,85.73153235954240,224.3796113696920,FALSE
0.1838886721,0.411187571,8.1878859535,0.0497576,0.2962061287988720,1.052079402640930,7.906473496389840,128.8405407963470,242.293197578416,109.0655767033020,TRUE
0.0201629919,0.0450858206,14.0912031607,0.024568,0.1986104067958220,0.8633230890356340,15.29060134113290,18.63948790340440,344.8005314441180,197.2654367936370,FALSE
0.022108281,0.0494356193,11.1995010545,0.0053862,0.177454625327355,0.8693364318543380,1.86779849136472,150.0050896869120,204.9786870571120,114.0409109070570,FALSE
0.3503926411,0.7835017643,9.3048655227,0.0215286,0.1290438595815370,1.061197120692010,15.08972042172530,215.4436355173160,61.17301359257870,301.4816144786950,TRUE
0.1677084622,0.3750075218,26.0538805106,0.175606,0.5458440282992360,1.487152224729360,10.42495328796340,114.7292730820400,354.1692340425910,144.331764664412,FALSE
0.1756123185,0.3926810818,19.2686125665,0.0337336,0.523263108804333,1.182148764701510,23.27720540354020,65.77208245525730,110.1549531441410,164.4894216808610,TRUE
0.3503926411,0.7835017643,9.3048655241,0.020437,0.1290153472152780,1.061191066459370,15.0900047631558,215.4428312993690,61.18913869575110,121.790814642756,TRUE
0.4411182,0.9863702813,14.3425306846,0.00433054,0.5324847482604940,2.10401812174821,8.168524524209120,299.0216815675570,332.9520294576550,104.1327876318540,TRUE
